,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Caçapava do Sul,Ciências Exatas,Integral,8 semestres,3215 horas,LICENCIADO EM CIÊNCIAS EXATAS,Presencial
Caçapava do Sul,Engenharia Ambiental e Sanitária,Integral,10 semestres ,3600 horas,BACHAREL EM ENGENHARIA AMBIENTAL E SANITÁRIA,Presencial
Caçapava do Sul,Geofísica,Integral,8 semestres,2730 horas,BACHAREL EM GEOFÍSICA,Presencial
Caçapava do Sul,Geologia,Integral,10 semestres ,3660 horas,BACHAREL EM GEOLOGIA,Presencial
Caçapava do Sul,Mineração,Noturno,7 semestres,2670 horas,Tecnólogo em Mineração,Presencial