Campus,Descrição ,Coordenador ,Validade
Jaguarão,"Evento Integrado :  Mostra Acadêmica do Curso de Pedagogia, I Encontro das Licenciaturas à Distância, I Mostra Científica da Pós-Graduação, II Fórum Regional de Metade Sul de EJA e XXIII Encontro Estadual do Fórum de EJA RS",Ana Cristina da Silva Rodrigues,09/02/2019 - 18/05/2019
Jaguarão,"Experiências de leitura, a formação do leitor em textos artísticos: HQ e outras linguagens",catia dias goulart,02/05/2019 - 05/12/2019
Jaguarão,Formação de Professores na Cibercultura: Interagindo com as Ferramentas Digitais,Juliana Brandão Machado,07/12/2018 - 30/05/2019
Jaguarão,Galeria Intercultural Magliani,Patrícia Schneider Severo,31/07/2017 - 31/07/2020
Jaguarão,I Jornada dos Povos Indígenas - Unipampa Campus Jaguarão,Cristiani Ricordi,08/10/2018 - 30/04/2019
Jaguarão,"IV COPENE SUL: ANCESTRALIDADES, CONQUISTAS E RESISTÊNCIAS EM TEMPO DE INTOLERÂNCIA",Giane Vargas escobar,27/09/2018 - 26/09/2019
Jaguarão,"LugareS de FalaS, vamos dialogar?",Edison Bisso Cruxen,10/05/2019 - 16/11/2019
Jaguarão,Núcleo de Estudo e Pesquisa em Gênero e Sexualidade (NEPGS)  Campus Jaguarão,MARCELA  WANGLON RICHTER,15/05/2019 - 15/05/2021
Jaguarão,O cuidado de si e o mundo: narrativas visuais e produções fotográficas no campo psicossocial.,thomas josue silva,03/08/2017 - 03/08/2019
Jaguarão,Pipas no Cerro,Patrícia Schneider Severo,03/04/2018 - 31/12/2019
Jaguarão,Programa CriaNegra,S,01/03/2017 - 01/03/2020
Jaguarão,Uma proposta de formação continuada de professores de espanhol através da pesquisa-ação,Caroline Feij,13/03/2019 - 30/12/2019
Jaguarão,Atinuké  Grupo de Estudos sobre o Pensamento de Mulheres Negras,Giane Vargas escobar,01/05/2018 - 31/12/2020
Santana do Livramento,A Ferradura dos Vinhedos: Aperfeiçoamento e Disseminação de Conhecimentos,Tanise Brandão Bussmann,01/04/2018 - 31/12/2020
Santana do Livramento,"A Unipampa contribuindo na Inclusão digital para a melhor idade,, Adultos e Pessoas fora do Mercado de Trabalho das cidades de Santana do Livramento e Rivera-ROU.",Luiz Edgar Araujo Lima,01/05/2015 - 15/01/2201
Santana do Livramento,Associação Atlética Desportiva Unipampa Livramento (AADUL),Sebastião Ailton da Rosa Cerqueira Adão,20/06/2018 - 18/06/2019
Santana do Livramento,Cine Pampa,Renato José da Costa,01/01/2017 - 31/12/2019
Santana do Livramento,Desenvolvimento do Arranjo Produtivo Local (APL) do Leite em Sant`Ana do Livramento,MÁRCIO PEREIRA CORDEIRO,16/02/2017 - 14/02/2020
Santana do Livramento,Despertando a atitude empreendedora: uma análise em escolas                         públicas de ensino médio,Mygre Lopes da Silva,04/10/2018 - 20/12/2019
Santana do Livramento,Despertando a atitude empreendedora: uma análise em escolas públicas de ensino médio,Mygre Lopes da Silva,04/09/2018 - 20/12/2019
Santana do Livramento,Diálogos: Unipampa com Santana do Livramento,Isabela Braga da Matta,26/03/2019 - 08/07/2019
Santana do Livramento,Educação para a Sustentabilidade Financeira 6ª Edição,Thadeu José Francisco Ramos,02/05/2019 - 31/12/2019
Santana do Livramento,I Seminário Relações Internacionais e Defesa: o Brasil no mundo do século XXI,Kamilla Raquel Rizzi,01/02/2019 - 10/07/2019
Santana do Livramento,II Jornada Jurídica Fronteiriça,Alessandra Marconatto,01/03/2019 - 01/12/2019
Santana do Livramento,Incentivapampa,João Timóteo de los Santos,09/05/2018 - 07/05/2021
Santana do Livramento,INCUBAÇÃO DE EMPREENDIMENTOS ECONÔMICOS SOLIDÁRIOS (EES) NA FRONTEIRA DA PAZ  SANTANA DO LIVRAMENTO - RS,Altacir Bunde,25/02/2019 - 30/12/2020
Santana do Livramento,Observatório de Uso de Redes Sociais na Política,Paulo Cassanego Jr,31/03/2019 - 31/03/2020
Santana do Livramento,PAMPASUL - Unipampa Simulações Internacionais 2019/2020,Kamilla Raquel Rizzi,01/02/2019 - 01/12/2020
Santana do Livramento,PAMPEANO  Cursinho Pré-ENEM do Diretório Acadêmico de Relações Internacionais da Universidade Federal do Pampa.,Rafael Balardin,10/04/2018 - 18/12/2020
Santana do Livramento,Participação na Constituição e no Acompanhamento do Observatório Social de Santana do Livram,Jeferson Luis Lopes Goularte,01/11/2017 - 31/12/2019
Santana do Livramento,PECDIR - Projeto de Extensão: o Direito na Comunidade,Deisemara Turatti Langoski,03/04/2019 - 04/04/2022
Santana do Livramento,WAR Geopolítico,Renato José da Costa,16/11/2016 - 16/11/2019
São Borja,A Geografia ribeirinha de São Borja através da produção cultural do bairro do passo.,Muriel Pinto,01/04/2019 - 31/12/2019
São Borja,Admirável Mundo Novo: quebrando paradigmas através da educação,Ronaldo Bernardino Colvero,19/02/2019 - 31/01/2020
São Borja,Bolsa de gestão para a coordenação do curso de Relações Públicas do campus São Borja da UNIPAMPA,Valmor Rhoden,01/04/2019 - 31/12/2019
São Borja,Cambiando Saberes,Marcela Guimarães e Silva,11/03/2019 - 13/12/2019
São Borja,CINE FILO-UNIPAMPA  Provocações Filosóficas da Arte Cinematográfica,Sérgio Ricardo Silva Gacki,13/10/2015 - 01/09/2019
São Borja,Comunicação visual das fachadas comerciais: edição 2019.,Denise Aristimunha de Lima,22/03/2019 - 31/01/2020
São Borja,Conhecendo a Unipampa  edição 2019,William de Souza Bernardes,02/04/2019 - 30/08/2019
São Borja,Cultura de Paz E direitos Humanos,Simone Barros de Oliveira,10/01/2019 - 10/01/2022
São Borja,Direito à informação de interesse público,Valmor Rhoden,01/04/2019 - 31/12/2019
São Borja,EDUCON: Educação Ambiental e Controle Social,solange berwig,30/04/2015 - 18/12/2020
São Borja,Formação e Assessoria em Políticas Sociais no município de São Borja-RS,Rosilaine Coradini Guilherme,05/03/2017 - 31/12/2021
São Borja,"GESTÃO DE MARKETING PARA ORGANIZAÇÕES DE FRONTEIRA  EDIÇÃO 2019, UM PASSO À FRENTE",João Antônio Gomes Pereira,25/03/2019 - 15/02/2020
São Borja,"História, Cultura e Identidade Afro-indígena na Fronteira Oeste do Rio Grande do Sul. A formação de professores da educação básica na rede de ensino pública municipal de São Borja  2019",Edson Romario Monteiro Paniagua,20/03/2019 - 31/12/2019
São Borja,"I Fórum Internacional de Serviço Social: Trabalho, Políticas Sociais e Fronteiras",Rosilaine Coradini Guilherme,01/02/2019 - 10/12/2019
São Borja,i4 Documenta,Sara Alves Feitosa,04/04/2019 - 30/12/2020
São Borja,III SEMINÁRIO (DES)FAZENDO SABERES NA FRONTEIRA: LUTAS E (RE)EXISTÊNCIAS,JAQUELINE CARVALHO QUADRADO,28/03/2019 - 31/12/2019
São Borja,LEME: oficinas preparatórias para o ENEM,Gerson de Lima Oliveira,01/04/2017 - 01/04/2020
São Borja,Mostra de Cinema da Unipampa - 3ª Edição,Elisa Lübeck Terra,01/04/2019 - 31/01/2020
São Borja,MULHERES SEM FRONTEIRAS,JAQUELINE CARVALHO QUADRADO,20/03/2019 - 10/03/2022
São Borja,Observa Pampa,solange berwig,20/04/2018 - 21/12/2020
São Borja,Pampa News: webtelejornal da Unipampa,Roberta Roos Thier,01/04/2019 - 20/12/2019
São Borja,Papo de Corredor: os alunos como agentes da informação e do debate acadêmico,Leandro Ramires Comassetto,01/04/2019 - 19/03/2021
São Borja,PEGADA SEGURA: práticas educativas em saúde sexual e saúde reprodutiva,JAQUELINE CARVALHO QUADRADO,19/03/2019 - 18/03/2022
São Borja,Produção Legislativa no Município de São Borja e as políticas públicas para as mulheres,saraepitcio,01/03/2018 - 01/03/2020
São Borja,Projeto Educomunicaçao Popular no Campo: gestão de marketing para feiras livres  com agricultoras familiares,merli leal silva,10/05/2019 - 10/12/2019
São Borja,"Projeto Nova Visão: Criatividade, Inovação e Empreendedorismo sem fronteiras",João Antônio Gomes Pereira,01/03/2018 - 15/02/2020
São Borja,Redução de Danos em São Borja,José Wesley Ferreira,24/10/2018 - 10/12/2019
São Borja,Relações Públicas Inclusiva: a diversidade na comunicação,fernanda sagrilo andres,12/04/2019 - 02/01/2020
São Borja,Saúde Mental: Rodas de conversa no CAPS AD de São Borja,Jocenir de Oliveira Silva,03/03/2017 - 31/12/2019
São Borja,Sessão Pipoquinha,Juliana Zanini Salbego,18/03/2019 - 31/01/2020
São Borja,"V Seminário Internacional de Ciências Sociais  Ciência Política, cuja temática será Estado, Sociedade e Democracia: os (des) caminhos da América Latina no Século XXI",Edson Romario Monteiro Paniagua,19/02/2019 - 31/08/2019
São Gabriel,Ação Social na Formação do Unipampeano,Lucia Helena do Canto Vinadé,30/03/2017 - 30/12/2021
São Gabriel,As pesquisas do Núcleo de Estudos de Vegetação Antártica (NEVA) da UNIPAMPA na Antártica/Brasil em sala de aula e para a comunidade: trabalhando o método científico.,Jair Putzke,04/09/2018 - 01/09/2021
São Gabriel,Biodiversidade: conhecer para respeitar,Patrícia de Oliveira Neves,03/03/2018 - 31/12/2020
São Gabriel,Ciência e Química em foco,Helmoz Roseniaim Appelt,01/08/2017 - 31/07/2020
São Gabriel,Comunicação e extensão das ações da Unipampa no município de São Gabriel -RS,Ana Júlia Teixeira Senna Sarmento Barata,01/05/2018 - 31/12/2019
São Gabriel,Educação em Solos para Crianças,Mirla Andrade Weber,02/01/2018 - 31/12/2019
São Gabriel,"Educação, Sustentabilidade e Cidadania na Sociedade de Consumo (EDUCON)",JEFFERSON MARÇAL DA ROCHA,20/03/2018 - 19/03/2021
São Gabriel,"Educação, Sustentabilidade e Cidadania na Sociedade de Consumo (EDUCON)",JEFFERSON MARÇAL DA ROCHA,20/03/2018 - 19/03/2021
São Gabriel,Estudos de Pedagogia Freireana,Carlos Alberto Xavier Garcia,08/03/2016 - 16/12/2019
São Gabriel,EXTINÇÕES: EXPOSIÇÃO INTERATIVA,Felipe Lima Pinheiro,01/04/2019 - 01/04/2020
São Gabriel,Festival de Acolhimento aos Bixos 2019,Rafael Plá Matielo Lemos,12/03/2019 - 30/04/2019
São Gabriel,"Gestão da qualidade e da segurança dos alimentos aplicados a serviços de alimentação e agroindústrias da região Fronteira Oeste, RS",Cássia Regina Nespolo,01/03/2018 - 28/02/2021
São Gabriel,GIDANE: Grupo interdisciplinar  de Desenvolvimento Ambiental,André Carlos Cruz Copetti,01/03/2018 - 31/12/2020
São Gabriel,I Workshop Florestal Unipampa: plantios de alta produtividade,Bruna Denardin da Silveira,05/04/2019 - 30/06/2019
São Gabriel,Música na Universidade - 2ª Edição,Rafael Plá Matielo Lemos,24/10/2018 - 31/12/2020
São Gabriel,"Onde há verde, há vida!",Patrícia de Oliveira Neves,10/02/2019 - 31/12/2021
São Gabriel,TRILHA INTERPRETATIVA CAMPUS VERDE,André Carlos Cruz Copetti,07/12/2018 - 30/12/2023
São Gabriel,Visitando o Jardim Botânico da Unipama,Angelo Alberto Schneider,01/04/2019 - 30/12/2020
Uruguaiana,Integra_Fisio,Graziela Morgana Silva Tavares,01/05/2019 - 31/12/2019
Uruguaiana,3ª Clínica Científica de Corrida,Marcos Roberto Kunzler,01/06/2019 - 01/11/2019
Uruguaiana,ACADEMIA PARA BEBÊS: Intervenção motora em busca do Desenvolvimento motor pleno,Eloa Maria dos Santos Chiquetti,01/04/2019 - 01/04/2021
Uruguaiana,Ações de Prevenção de Agravos e Promoção da Saúde nas Escolas: dos cuidados básicos de higiene ao controle de ISTs.,Debora Alves Nunes Mario,18/03/2019 - 31/01/2021
Uruguaiana,Ações de promoção à saúde para trabalhadores de enfermagem de Estratégias de Saúde da Família,Leticia Silveira Cardoso,10/05/2018 - 10/06/2020
Uruguaiana,Alimentos e alimentação animal na Fronteira Oeste do Rio Grande do Sul,Deise Dalazen Castagnara,22/07/2017 - 21/07/2021
Uruguaiana,AMBULATÓRIO DE PRÁTICAS INTEGRATIVAS E COMPLEMENTARES NO SUS,Angela Kemel Zanella,01/04/2016 - 01/04/2020
Uruguaiana,Ampliação da Educação Ambiental nas escolas municipais de Uruguaiana-RS,Ailton Jesus Dinardi,01/03/2019 - 20/12/2019
Uruguaiana,Apoio e acompanhamento para promoção proteção e apoio ao aleitamento materno,Jussara Mendes Lipinski,02/05/2018 - 15/12/2019
Uruguaiana,Apoio e promoção ao aleitamento materno em Estratégias de Saúde da Família (ESF) da zona rural do município.,Jussara Mendes Lipinski,10/03/2019 - 12/12/2019
Uruguaiana,Aquário como Terapia Assistida por Animais 2019,Alessandra Sayuri Kikuchi Tamajusuku Neis,01/03/2018 - 30/12/2019
Uruguaiana,Atenção à Mulher no Puerpério na Atenção Primária à Saúde,NATALIA SEVILHA STOFEL,10/04/2018 - 12/07/2019
Uruguaiana,Ativ@ Idade: mente e corpo,Graziela Morgana Silva Tavares,01/04/2019 - 31/12/2020
Uruguaiana,Atividades Educativas acerca das condições crônicas de saúde,Raquel Pötter Garcia,01/09/2017 - 01/09/2020
Uruguaiana,Avaliação da qualidade do sêmen utilizado em programas de Inseminação Artificial na Fronteira Oeste do Rio Grande do Sul,Fábio Gallas leivas,01/02/2017 - 31/12/2019
Uruguaiana,AVALIAÇÃO E INTERVENÇÃO MOTORA EM CRIANÇAS COM DIFICULDADES DE APRENDIZAGEM,Eloa Maria dos Santos Chiquetti,02/05/2019 - 01/04/2021
Uruguaiana,Basquete como Promotor da Qualidade de Vida de Escolares,Marcio Alessandro Cossio Baez,01/02/2018 - 31/12/2019
Uruguaiana,Bromatologia como forma de incentivo à piscicultura na Fronteira Oeste do Rio Grande do Sul,Cristiano Miguel Stefanello,24/03/2019 - 20/04/2023
Uruguaiana,Centro de Tecnologia em Pecuária - CTPEC,Ricardo Pedroso Oaigen,14/03/2016 - 28/02/2020
Uruguaiana,Cientistas do Pampa,Eliade Ferreira Lima,10/02/2018 - 10/02/2020
Uruguaiana,Cine Debate: Bioética e Direitos Humanos,Juliana Lopes de Macedo,02/03/2019 - 02/05/2020
Uruguaiana,Clínica veterinária abrindo portas para a pecuária da Fronteira Oeste do Rio Grande do Sul,Fernando Passon Casagrande,01/03/2019 - 28/02/2022
Uruguaiana,Colóquios em Fisiologia 2019,Pâmela Billig Mello Carpes,01/03/2019 - 31/12/2019
Uruguaiana,Comunicação social e cidadania: Saúde mental em foco,luana ribeiro borges,10/03/2017 - 10/03/2020
Uruguaiana,Conhecendo a Unipampa Campus Uruguaiana,Liane Santariano Sant'Anna,01/05/2018 - 31/12/2019
Uruguaiana,Conhecendo o Autismo,Franck Maciel Peçanha,07/04/2018 - 05/04/2020
Uruguaiana,Conhecendo os Carnívoros do Pampa,Paulo de Souza Junior,03/04/2017 - 03/04/2020
Uruguaiana,Construção de Estratégias de Cuidado ao Prematuro e sua Família junto a Equipe de Saúde da Família,Michele Bulhosa de Souza,01/04/2019 - 10/04/2020
Uruguaiana,Coral Campus Uruguaiana: um projeto para todos,Mauren Assis de Souza,18/03/2019 - 31/12/2021
Uruguaiana,"Correndo com saúde: práticas de avaliação, orientação e acompanhamento de atletas amadores praticantes de corrida.",Marcos Roberto Kunzler,02/05/2019 - 15/12/2019
Uruguaiana,CUIDADOS DE ENFERMAGEM AOS PACIENTES COM FERIDAS NO AMBIENTE HOSPITALAR,JOSEFINE BUSANELLO,01/04/2018 - 06/12/2020
Uruguaiana,Curso de RCP  Ressuscitação Cardiopulmonar.,Franck Maciel Peçanha,07/04/2018 - 05/04/2020
Uruguaiana,Descarte racional de medicamentos,Fernanda Bruxel,10/05/2017 - 28/02/2023
Uruguaiana,Disseminação do Tifton 85 (Cynodon spp.) na Fronteira Oeste do Rio Grande do Sul,Rodrigo Holz Krolow,12/03/2018 - 11/03/2021
Uruguaiana,Divulgando a Aquicultura na Fronteira Oeste,Catia Veiverberg,01/03/2018 - 31/12/2019
Uruguaiana,DOAÇÃO VOLUNTÁRIA DE CORPOS PARA O ENSINO E APRENDIZAGEM DA ANATOMIA HUMANA.,Elizangela dos Anjos Silva,01/04/2018 - 01/04/2021
Uruguaiana,Educação em higiene pessoal e manipulação de alimentos com enfoque na instrução de crianças,Carolina Kist Traesel,01/04/2018 - 31/03/2020
Uruguaiana,ELETROTERAPIA EM PACIENTES COM DOR CRÔNICA NA COLUNA VERTEBRAL,Morgana Duarte da Silva,15/03/2018 - 15/03/2020
Uruguaiana,Encontro de Formação em Educação Física  Educação Infantil e Anos Iniciais,Jaqueline Copetti,04/01/2019 - 30/12/2021
Uruguaiana,Envelhecendo com Arte e Saúde,CENIR GONCALVES TIER,13/03/2017 - 23/12/2019
Uruguaiana,"Equoterapia, educação e chimarrão: ao passo se vai ao longe",Silvia Luci de Almeida Dias,06/02/2017 - 06/02/2020
Uruguaiana,Explorando o Corpo Humano: Do Homem à Célula,PAULO EMILIO BOTURA FERREIRA,20/03/2017 - 20/02/2020
Uruguaiana,"Extensão em Uroginecologia, Obstetrícia e Oncologia  atenção fisioterapêutica",Fernanda Vargas Ferreira,02/05/2019 - 31/12/2021
Uruguaiana,Fique Legal Cultivando Planta Boa,Claudete Izabel Funguetto,10/03/2017 - 31/12/2020
Uruguaiana,FIQUE LEGAL CULTIVANDO PLANTA BOA,Claudete Izabel Funguetto,03/03/2016 - 31/12/2019
Uruguaiana,Flores do Campus,Claudete Izabel Funguetto,01/04/2019 - 31/12/2021
Uruguaiana,Formação em Ecoesporte,Phillip Vilanova Ilha,06/03/2017 - 06/03/2020
Uruguaiana,Fotoeducação: Promoção ao uso de fotoprotetores e prevenção do câncer de pele,sandra elisa haas,18/03/2019 - 31/12/2021
Uruguaiana,GILABS  Ginástica Laboral para Servidores,Susane Graup,11/03/2019 - 31/12/2021
Uruguaiana,Grupo de Trabalho Pecuária do Amanhã,Ricardo Pedroso Oaigen,01/02/2016 - 31/12/2019
Uruguaiana,Hábitos posturais decorrente do peso das mochilas em escolares do ensino médio e fundamental: como educar a postura?,Nelson Serrão,01/05/2017 - 01/05/2020
Uruguaiana,III Seminário de Inovação Pedagógica: vivências acadêmico-profissionais,Elena Maria Billig Mello,24/05/2019 - 20/12/2019
Uruguaiana,IMPACTO DO MEIO AMBIENTE NA SAÚDE DAS CRIANÇAS E ADOLESCENTES,MARILYN NILDA ESTHER URRUTIA DE PEREIRA,15/03/2019 - 15/03/2020
Uruguaiana,INFECÇÕES SEXUALMENTE TRANSMISSÍVEIS (IST): AÇÕES EDUCATIVAS E PREVENTIVAS,João Felipe Peres Rezer,30/09/2018 - 01/12/2020
Uruguaiana,Iniciação Esportiva ao Tênis de Campo,Susane Graup,11/03/2019 - 31/12/2021
Uruguaiana,Língua de sinais e surdez: uma mediação cultural,Valéria Scangarelli,04/04/2018 - 31/12/2019
Uruguaiana,Microbiologia vai à escola,Cheila Denise Ottonelli Stopiglia,01/03/2019 - 21/12/2020
Uruguaiana,Mostra de Plantas Repelentes de Mosquitos Transmissores de Doenças  2019,Claudete Izabel Funguetto,26/03/2019 - 31/12/2019
Uruguaiana,Mulheres na Bioquímica- um projeto de Cientistas do Pampa,Daiana Silva de Ávila,01/05/2019 - 01/05/2021
Uruguaiana,MULHERES PESCADORAS DO PAMPA,Claudete Izabel Funguetto,03/03/2016 - 31/12/2019
Uruguaiana,Mulheres Pescadoras do Pampa,Claudete Izabel Funguetto,10/03/2017 - 31/12/2020
Uruguaiana,Noite da Pecuária,Guilherme de Medeiros Bastos,20/03/2019 - 09/12/2019
Uruguaiana,"Nós: Adolescência, saúde e direitos sexuais e reprodutivos",Fabiane Ferreira da silva,01/05/2019 - 30/11/2019
Uruguaiana,O Cerro do Jarau: Um laboratório cultural e astronômico,Eliade Ferreira Lima,01/03/2017 - 01/03/2020
Uruguaiana,Oficinas de esportes,Phillip Vilanova Ilha,06/02/2017 - 06/02/2020
Uruguaiana,Organização de uma linha de cuidado voltada a escolares expostos a drogas lícitas e ilícitas em escolas municipais e estaduais do Município de Uruguaiana - RS,Luís Flávio Souza de Oliveira,01/10/2016 - 30/01/2020
Uruguaiana,P.A.C.T.O.  Programa de Avaliação do Condicionamento Físico e Treinamento Orientado à competição,Felipe Pivetta Carpes,01/11/2016 - 01/11/2019
Uruguaiana,Parent in Science  Divulgação Científica,Alessandra Sayuri Kikuchi Tamajusuku Neis,04/03/2019 - 23/12/2019
Uruguaiana,"Perfil Epidemiológico do Índice de Massa Corpórea (IMC), Frequência Cardíaca (FC) e sua relação com a Obesidade em Escolares da Rede Pública de Educação: como evitar este problema de Saúde Pública?",Nelson Serrão,01/05/2017 - 01/05/2020
Uruguaiana,PodCast Ciência no Velho Oeste: Divulgando a pesquisa da UNIPAMPA  Campus Uruguaiana para a Comunidade!,Michel Mansur Machado,01/01/2017 - 31/12/2019
Uruguaiana,POPNEURO: Ações para divulgação e popularização da neurociência junto à comunidade escolar de Uruguaiana/RS,Pâmela Billig Mello Carpes,01/03/2017 - 31/12/2019
Uruguaiana,Práticas Integradas em Saúde Coletiva,Aleksandra Sharapin Sagrilo,01/12/2016 - 01/12/2019
Uruguaiana,PRENDAS: Promovendo Reflexões ENnfatizando Demandas e Autonomias em Saúde,Rovana Kinas Bueno,01/04/2019 - 31/12/2019
Uruguaiana,Programa de Apoio e Inovações na Gestão e Atenção no SUS,luana ribeiro borges,10/03/2017 - 10/03/2020
Uruguaiana,PROGRAMA DE ASMA NA ESCOLA (ETAPA 1),MARILYN NILDA ESTHER URRUTIA DE PEREIRA,01/08/2017 - 01/07/2019
Uruguaiana,Programa de diagnóstico de enfermidades virais em animais domésticos da Fronteira Oeste do RS.,Mário Celso Sperotto BRum,01/03/2019 - 31/12/2021
Uruguaiana,Programa de Educação Física nos anos iniciais,Jaqueline Copetti,01/02/2017 - 31/12/2019
Uruguaiana,Projeto Carroceiro 2019/2020,Claudia Acosta Duarte,01/04/2019 - 31/12/2020
Uruguaiana,PROJETO EDUCAÇÃO FÍSICA PARA ALÉM DA PRÁTICA,Mauren Assis de Souza,01/03/2019 - 31/12/2020
Uruguaiana,Projeto Equilibrium,Rodrigo de Souza Balk,25/03/2018 - 25/03/2020
Uruguaiana,"Promovendo a qualidade de vida através do Ambulatório de Doenças Infecciosas (AMDI), Parte I: Implantação",sandra elisa haas,18/03/2019 - 31/12/2021
Uruguaiana,PROMOVENDO A SAÚDE DE ESTUDANTES EM ANOS INICIAIS COM DIFICULDADES DE APRENDIZAGEM,Simone Lara,01/03/2019 - 01/03/2022
Uruguaiana,PROMOVENDO CONHECIMENTO: DOENÇAS INFECTOCONTAGIOSAS EM UMA UNIDADE DO EXÉRCITO BRASILEIRO DE FRONTEIRA,João Felipe Peres Rezer,15/04/2019 - 15/12/2020
Uruguaiana,Promovendo saúde: qualidade de vida para doentes renais em hemodiálise,Shana Hastenpflug Wottrich,13/03/2017 - 13/03/2020
Uruguaiana,Rádio-educação: dialogando com a comunidade,Fabiane Moreira Farias,15/03/2019 - 20/12/2019
Uruguaiana,REJUVENESCER COM PILATES,Silvia Luci de Almeida Dias,13/03/2017 - 13/03/2020
Uruguaiana,Respirar,Giulia Alesandra Wiggers Peçanha,01/03/2019 - 01/03/2021
Uruguaiana,REVITALIZE-SE COM ISOSTRETCHING,Silvia Luci de Almeida Dias,13/03/2017 - 13/03/2020
Uruguaiana,Sensibilização de crianças sobre a posse responsável de animais.,Marcelo Dal Pozzo,12/03/2018 - 12/03/2021
Uruguaiana,TAES: MEXA-SE COM PILATES,Silvia Luci de Almeida Dias,13/03/2017 - 13/03/2020
Uruguaiana,Tambo de Leite da Unipampa como unidade demonstrativa de produção para a Fronteira Oeste,Deise Dalazen Castagnara,10/12/2015 - 08/12/2020
Uruguaiana,Teste do Pezinho: valorização da vida do seu bebê.,VANUSA MANFREDINI,01/04/2019 - 01/04/2021
Uruguaiana,Treinamento Prático e Atualização em Processos Chave no Laboratório de Microbiologia Clínica,Vanessa Bley Ribeiro,01/06/2018 - 31/10/2020
Uruguaiana,Unipampa Solidária,Camila Simonetti Pase,01/04/2019 - 01/04/2023
Uruguaiana,VIII Curso de Neurociência Aplicada à Educação,Pâmela Billig Mello Carpes,01/03/2019 - 31/12/2019
Uruguaiana,X Simpósio em Neuromecânica Aplicada,Felipe Pivetta Carpes,04/03/2019 - 30/12/2019
Uruguaiana,"XIV COPA PAMPA VET  PROMOVENDO O DESENVOLVIMENTO ESPORTIVO, ARTÍSTICO E CULTURAL JUNTO À COMUNIDADE DE URUGUAIANA-RS",Claudete Izabel Funguetto,04/05/2019 - 05/05/2019
Uruguaiana,Mãe do bem: a importância do Pré-natal,Vanessa Bley Ribeiro,15/04/2019 - 30/09/2019
Uruguaiana,Mãe do bem: a importância do Pré-natal,Vanessa Bley Ribeiro,15/04/2019 - 30/09/2019
Uruguaiana,PROJETO GAIA: VIGILÂNCIA E ESTRATÉGIAS DE EDUCAÇÃO AMBIENTAL EM SAUDE NA TRÍPLICE FRONTEIRA DO RIO GRANDE DO SUL,Débora da Cruz Payão Pellegrini,02/05/2019 - 02/05/2021