Ação Social na Formação do Unipampeano|Lucia Helena do Canto Vinadé|30/03/2017 - 30/12/2021
As pesquisas do Núcleo de Estudos de Vegetação Antártica (NEVA) da UNIPAMPA na Antártica/Brasil em sala de aula e para a comunidade: trabalhando o método científico.|Jair Putzke|04/09/2018 - 01/09/2021
Biodiversidade: conhecer para respeitar|Patrícia de Oliveira Neves|03/03/2018 - 31/12/2020
Ciência e Química em foco|Helmoz Roseniaim Appelt|01/08/2017 - 31/07/2020
Comunicação e extensão das ações da Unipampa no município de São Gabriel -RS|Ana Júlia Teixeira Senna Sarmento Barata|01/05/2018 - 31/12/2019
Educação em Solos para Crianças|Mirla Andrade Weber|02/01/2018 - 31/12/2019
Educação, Sustentabilidade e Cidadania na Sociedade de Consumo (EDUCON)|JEFFERSON MARÇAL DA ROCHA|20/03/2018 - 19/03/2021
Educação, Sustentabilidade e Cidadania na Sociedade de Consumo (EDUCON)|JEFFERSON MARÇAL DA ROCHA|20/03/2018 - 19/03/2021
Estudos de Pedagogia Freireana|Carlos Alberto Xavier Garcia|08/03/2016 - 16/12/2019
EXTINÇÕES: EXPOSIÇÃO INTERATIVA|Felipe Lima Pinheiro|01/04/2019 - 01/04/2020
Festival de Acolhimento aos Bixos 2019|Rafael Plá Matielo Lemos|12/03/2019 - 30/04/2019
Gestão da qualidade e da segurança dos alimentos aplicados a serviços de alimentação e agroindústrias da região Fronteira Oeste, RS|Cássia Regina Nespolo|01/03/2018 - 28/02/2021
GIDANE: Grupo interdisciplinar  de Desenvolvimento Ambiental|André Carlos Cruz Copetti|01/03/2018 - 31/12/2020
I Workshop Florestal Unipampa: plantios de alta produtividade|Bruna Denardin da Silveira|05/04/2019 - 30/06/2019
Música na Universidade - 2ª Edição|Rafael Plá Matielo Lemos|24/10/2018 - 31/12/2020
Onde há verde, há vida!|Patrícia de Oliveira Neves|10/02/2019 - 31/12/2021
TRILHA INTERPRETATIVA CAMPUS VERDE|André Carlos Cruz Copetti|07/12/2018 - 30/12/2023
Visitando o Jardim Botânico da Unipama|Angelo Alberto Schneider|01/04/2019 - 30/12/2020