A Educação como forma de prevenção de enfermidades zoonóticas|Larissa Picada brum|30/03/2018 - 23/12/2019
Aprendendo na prática: Da escola para a universidade|Anelise Afonso Martins|06/05/2019 - 20/12/2020
Aproximando pessoas e cavalos: fase 2|Adriana Pires Neves|01/03/2018 - 31/12/2021
Arborização Urbana: um Exercício de Cidadania e Sustentabilidade Sócio Ambiental|Norton Victor Sampaio|01/03/2016 - 31/12/2021
Aromas do Mundo|Angela Rossi Marcon|20/03/2018 - 20/03/2021
Assistência Parasitológica para Produtores de Dom Pedrito, Rs  e Orientação na Prevenção de Doenças Parasitárias em Escolas da Região.|Anelise Afonso Martins|20/03/2017 - 20/12/2019
Assistência técnica e atualização em Bovinocultura de Corte para Dom Pedrito e região com foco no pecuarista familiar e na conservação dos recursos naturais.|José Acélio Silveira da Fontoura Júnior|01/04/2013 - 27/03/2022
Assistência técnica e atualização em Ovinocultura no Pampa Gaúcho|Gladis Ferreira Corrêa|01/03/2019 - 31/12/2021
Avifauna na Estância do Pampa|Guilherme Joner|12/03/2018 - 11/03/2021
Biblioteca Viva|Juliane Fonseca Soares|04/04/2018 - 30/06/2019
Ciclo de palestras PET-Agronegócio|José Acélio Silveira da Fontoura Júnior|12/03/2018 - 31/12/2019
Ciências Naturais no cotidiano: ações no ensino básico|Jessie Haigert Sudati|23/11/2017 - 15/12/2019
Clube de Xadrez Escolar e Universitário UNIPAMPA  Dom Pedrito|José Guilherme Franco Gonzaga|07/01/2019 - 07/01/2022
Conversações com o Grupo CoEducar|Ana Carolina de Oliveira Salgueiro de Moura|04/02/2019 - 10/12/2020
Cultivo de espécies aromáticas|Etiane Skrebsky Quadros|15/03/2018 - 15/03/2020
Diagnóstico através de exames laboratoriais em busca de hemoparasitas e avaliação hematológica|Lourdes Caruccio Hirschmann|15/03/2015 - 07/02/2020
Diagnóstico, desenvolvimento e aplicação de ações de transferência de tecnologia para as propriedades leiteiras do município de Dom Pedrito|Luciane Rumpel Segabinazzi|01/03/2018 - 31/12/2021
Divulgação audiovisual da Unipampa Campus Dom Pedrito|Lourdes Caruccio Hirschmann|05/12/2018 - 05/12/2019
ECOSOL - REDES DE COOPERAÇÃO E SOLIDARIEDADE|José Guilherme Franco Gonzaga|04/02/2019 - 04/02/2022
ENSINANDO A PESCAR: Assistência técnica a produtores rurais na região da Metade Sul, Campanha e Fronteira Oeste|PAULO RODINEI SOARES LOPES|01/01/2015 - 01/01/2020
Experimentação Participativa com Viticultores da Região de Dom Pedrito - RS|Juan Aguila|02/03/2016 - 03/03/2022
Exposição Didática e Experimentoteca em solos|Daniel Hanke|20/03/2018 - 20/03/2020
Formação Continuada de Professores do Campo da Região da Campanha|Denise da Silva|15/03/2016 - 15/03/2021
FORMAÇÃO EM AGROECOLOGIA E EDUCAÇÃO DO CAMPO NA REGIÃO DA CAMPANHA GAÚCHA|José Guilherme Franco Gonzaga|09/12/2017 - 09/12/2019
II Mostra de Extensão Universitária da Unipampa Dom Pedrito: Aproximando a comunidade|Anelise Afonso Martins|08/08/2019 - 31/10/2019
III SIMPAGRO e III Mostra Científica do Campus Dom Pedrito|Caroline Ferreira Mainardi|12/07/2018 - 31/12/2019
Jornal da Lecampo: aproximando universidade e comunidade.|Jonas Anderson Simões das Neves|17/09/2018 - 20/07/2020
Mostra das profissões  Unipampa/ Dom Pedrito|Franciele Braz de Oliveira Coelho|06/05/2019 - 31/12/2019
Núcleo de Estudos Afro-Brasileiros e Indígenas (NEABI  Dom Pedrito)|Jonas Anderson Simões das Neves|17/09/2018 - 17/09/2021
o Formação continuada em Solos, Agroecologia e Educação Ambiental|Shirley Grazieli da Silva Nascimento|20/03/2018 - 20/03/2020
POPCIÊNCIAS: Popularização da Ciência através de exposições interativas|crisna daniela krause bierhalz|12/03/2019 - 31/12/2019
Produção Integrada de Uva na Campanha Gaúcha|Vagner Brasil Costa|01/04/2018 - 31/03/2021
Projeto Ciência|João Icaro Pafiadache Morelle|02/06/2017 - 02/06/2019
QUALIDADE FÍSICO-QUÍMICA E MICROBIOLÓGICA DE ÁGUAS SUBTERRÂNEAS E DO RIO SANTA MARIA NO MUNICÍPIO DE DOM PEDRITO, RS  ORIENTAÇÃO AOS PRODUTORES RURAIS|Fernando Zocche|18/10/2018 - 31/03/2020
Recursos Didáticos para Educação em Solos na Campanha Gaúcha|Daniel Hanke|20/03/2018 - 20/03/2020
Resistências e Mediação Comunicativa na Educação do Campo|Marcelo Vaz Pupo|01/10/2016 - 03/03/2020
Roda de leitura criativa|Tisa Echevarria Leite|06/04/2017 - 06/04/2020
Seminário de Ovinocultura do Pampa Gaúcho|Gladis Ferreira Corrêa|01/02/2014 - 31/12/2019
Tertúlias Pedagógicas do Pampa: no horizonte da inovação e da inclusão educacional|FRANCÉLI BRIZOLLA|06/03/2017 - 16/12/2020
Trilha no Campus|Carla Valeria Leonini Crivellaro|05/01/2019 - 05/12/2020
VI Equus do Pampa  Equus Mulher; VIII Tertúlia Temática ao Cavalo|Adriana Pires Neves|04/10/2019 - 05/10/2019
Projeto UNIPAMPA ama Música|Shirley Grazieli da Silva Nascimento|01/05/2018 - 01/05/2021