"Diálogos com o Ensino Médio"|Luci Annee Vargas Carneiro|20/03/2019 - 18/12/2019|
Adequação de Instalações Rurais para Boas Práticas de Manejo na Pecuária|Lisandro Oliveira Freitas|20/05/2017 - 20/05/2019|
Aprendizagens interculturais: produção de sentidos na educação básica - II Edição|Maria Cristina Graeff Wernz|03/06/2019 - 02/12/2019|
Aquaponia|Lisandro Oliveira Freitas|31/05/2017 - 31/05/2019|
Capacitar e instruir catadores de rua do lixo urbano em recicladores dos resíduos sólidos urbanos|Luis Ernesto Roca Bruno|15/01/2012 - 15/01/2032|
Ciência a Cavalo: Universidade e Ensino Básico de Mãos Dadas pelo Fortalecimento da Educação|Marco Antonio Durlo Tier|06/11/2018 - 31/10/2022|
Ciranda cultural: música em movimento|ROBERTA DOS SANTOS MESSA|15/04/2019 - 01/12/2019|
Clube de Astronomia da UNIPAMPA  Promovendo Ciência e Tecnologia|Alessandro Gonçalves Girardi|01/03/2019 - 31/12/2021|
Clube do Rádio|Lucas Compassi Severo|01/05/2019 - 31/12/2021|
Conexão Planejada|Bruno Boessio Vizzotto|22/04/2019 - 22/04/2020|
Difusa?o de Conhecimento e Pra?ticas em Seguranc?a de Sistemas|DIEGO LUIS KREUTZ|01/04/2019 - 31/01/2020|
Educação Tutorial Baseada na Produção de Material Didático|Dimas Irion Alves|01/11/2016 - 01/11/2019|
Eficiência Energética nos Campi da UNIPAMPA|José Wagner Maciel Kaehler|02/02/2017 - 31/12/2019|
Eletrônica nas Escolas|Paulo César Comassetto de Aguirre|01/03/2019 - 31/12/2021|
ESCRITÓRIO MODELO DE ENGENHARIA CIVIL|Alisson Simonetti Milani|01/09/2015 - 01/09/2020|
GEInfoEdu - Grupo de Estudos em Informática na Educação|Amanda Meincke Melo|06/03/2019 - 31/12/2020|
Gurias na Computação|Aline Vieira de Mello|01/03/2019 - 31/12/2019|
II Seminário de Ciência e Inovação Tecnológica em Protótipos  SCIPROT 2019|Alessandro Gonçalves Girardi|01/03/2019 - 31/12/2019|
ÍNDICE DE SATISFAÇÃO DOS PROPRIETÁRIOS DE TRATORES AGRÍCOLAS NA FRONTEIRA OESTE DO RIO GRANDE DO SUL|Vilnei de Oliveira Dias|01/04/2019 - 31/12/2019|
Laboratório de Instrumentação  para o Ensino de Física Itinerante|edgar gonzaga souza dos santos|16/09/2016 - 16/09/2019|
Leitura em todos os sentidos|Marlucy Farias Medeiros|18/03/2019 - 31/12/2019|
Micro Geração nos Campi da UNIPAMPA|José Wagner Maciel Kaehler|01/02/2017 - 31/12/2019|
Módulo - 1: Utilização de embalagens Tetra Pak como isolante térmico de habitações populares de madeira.|Simone Dornelles venquiaruto|01/12/2018 - 01/12/2021|
Motus - Movimento Literário Digital|Aline Vieira de Mello|01/03/2019 - 31/12/2019|
Pint of Science Alegrete 2019|Felipe Denardin Costa|01/03/2019 - 31/12/2019|
Programa C - Comunidade, Computação, Cultura, Comunicação, Ciência, Cidadania, Criatividade, Colaboração|Aline Vieira de Mello|01/03/2019 - 31/12/2021|
Regulamentação de residências em zonas carentes de Alegrete/RS|Diego Arthur Hartmann|20/03/2019 - 31/12/2021|
Suporte à Eficiência Energética e Fontes Renováveis de Energia na PM de Manoel Viana|José Wagner Maciel Kaehler|01/08/2018 - 31/12/2019|
Telecomunicações - Radioamadorismo Cidadania e Defesa Civil|Luis Ernesto Roca Bruno|15/01/2012 - 15/01/2026|
UNILIBRAS: PROGRAMA DE ESTUDOS E FORMAÇÃO EM LIBRAS|ROBERTA DOS SANTOS MESSA|09/04/2019 - 06/12/2019|
UNIPATAS Alegrete: Proteção, Esterilização e Adoção|CAMILA DA COSTA LACERDA TOLIO RICHARDT|30/03/2019 - 01/03/2023|
Xadrez na Escola|Celso Nobre da Fonseca|08/04/2019 - 08/04/2021