#BIORECICLE: Coleta Seletiva de Óleo Residual de Fritura  Boas Práticas de Sustentabilidade Socioambientais|Cristine Machado Schwanke|11/09/2017 - 31/12/2021|
A aplicação de conceitos de gestão baseados em produção enxuta|Rui Rosa de Morais Júnior|29/10/2018 - 09/12/2019|
A hora da Astronomia|Cecília Petinga Irala|01/03/2018 - 31/12/2020|
A Utilização de Tecnologias Digitais na Formação de Professores de Matemática|Denice Aparecida Fontana Nisxota Menegais|01/04/2018 - 01/04/2021|
Análise da Percepção Ambiental de Moradores do Bairro Malafaia e Propostas de Ação;|Tales Leandro Costa Martins|26/10/2017 - 30/12/2019|
ANIMA CAMPUS BAGÉ|Cristine Machado Schwanke|14/11/2018 - 30/09/2019|
Apoio pedagógico para licenciandos e professores que atuam com alunos com deficiência em escola comum|AMELIA ROTA BORGES DE BASTOS|15/03/2018 - 20/12/2020|
Arborizar: indo além dos plantios|Giovani Souza Andreoli|01/03/2018 - 31/12/2020|
Arquivo IMBA|Lu|15/03/2018 - 13/12/2019|
Astronomia para Todos|Guilherme Frederico Marranghello|03/03/2016 - 31/12/2019|
Ateliê Biográfico de Projeto|Luciana Martins Teixeira|03/04/2019 - 03/12/2019|
Bacia hidrográfica do rio Negro em território brasileiro: conhecer para gerenciar|ALEXANDRO GULARTE SCHAFER|02/03/2019 - 01/03/2021|
Baque do Pampa: práticas vocais coletivas na UNIPAMPA|Lúcia Helena Pereira Teixeira|27/03/2019 - 11/12/2019|
Biblioteca prisional: uma chance para quem está querendo virar a página.|VERA LEITE|14/03/2018 - 31/12/2019|
Biodiesel por Gurias do Pampa|Ana Rosa Costa Muniz|01/05/2019 - 31/12/2019|
Chamada CNPq/MCTIC Nº 31/2018 - Gurias do Pampa nas Exatas|Márcia Maria Lucchese|01/03/2019 - 31/12/2020|
Cienspiração: Um projeto de produção de materiais de divulgação científica.|Rafael Kobata Kimura|01/03/2018 - 31/12/2020|
Clube de Matemática|Sergio Meth|01/07/2018 - 30/06/2021|
confraria poética|Vera Lúcia Cardoso Medeiros|06/04/2018 - 31/03/2021|
CPEn Jr. Empresa Júnior da Engenharia Química|Alexandre Denes Arruda|05/04/2017 - 05/04/2020|
CURSO DE FORMAÇÃO CONTINUADA PARA PROFISSIONAIS DE EDUCAÇÃO BÁSICA - ENERGIA E MEIO AMBIENTE|Cristine Machado Schwanke|01/03/2018 - 31/03/2021|
Debate e Democracia no Pampa|Sergio Meth|01/08/2018 - 31/07/2021|
Difundindo Ciência e Tecnologia na Região da Campanha - UNIPAMPA campus Bagé 2016 - 2018|Edson Massayuki Kakuno|01/03/2016 - 31/12/2020|
Eficiência Energética na escola|Luiz Fernando de Freitas Gutierres|03/03/2017 - 03/02/2020|
Eficiência energética na escola (terceira etapa)|Luiz Fernando de Freitas Gutierres|18/02/2019 - 01/04/2020|
ENCONTRO 2018 PROEXT-CAMPUS BAGÉ & MOMENTO HEFORSHE: FAZER EXTENSÃO E CULTURA NO CAMPUS BAGÉ|Cristine Machado Schwanke|13/11/2018 - 01/07/2019|
Encontros de Ensino de Física na Região da Campanha|Pedro Fernando Teixeira Dornles|07/03/2018 - 15/12/2020|
Flauteando por Bagé|Elaine Martha Daenecke|10/02/2018 - 20/02/2021|
Grupo de Choro da Unipampa|Lu|17/05/2018 - 13/12/2019|
Gurias do Pampa nas Exatas|Márcia Maria Lucchese|01/03/2018 - 31/12/2019|
II SEMINÁRIO DE GESTÃO DE RESÍDUOS|Cristine Machado Schwanke|28/05/2018 - 28/06/2019|
INSERÇÃO DA PROTOTIPAGEM 3D NO PROCESSO DE DESENVOLVIMENTO DE PRODUTOS PARA PROFISSIONAIS DA EDUCAÇÃO|Cristiano Corrêa Ferreira|01/04/2019 - 31/03/2022|
Instituição Escolar Mélanie Granier: Patrimônio, Acervo e História|Alessandro Carvalho Bica|01/04/2019 - 31/12/2019|
Laboratório de Leitura e Produção Textual: Escrita colaborativa e experimental no Jornal Universitário do Pampa - Etapa II|Clara Zeni Camargo Dornelles|05/07/2017 - 08/10/2020|
LITERATURA AFRO-BRASILEIRA  Abordagem Introdutória  Modalidade: MINICURSO|Miriam Denise Kelm|30/03/2019 - 13/07/2019|
MEMORIAL PEDRO WAYNE: TRAÇOS LITERÁRIOS DE MEMÓRIA E ENSINO|Vanessa Abreu Dias|10/01/2018 - 30/05/2019|
Meninas Exatas|Ana Paula Ludtke Ferreira|20/03/2019 - 26/02/2021|
Momentos Unipampa Gênero e Sexualidade: feminismos, masculinidades e diversidade em debate.|Lessandra Merladet de Barros|11/03/2019 - 20/12/2019|
Monumentos Históricos da Região da Campanha  Conhecendo para Preservar|Luciana Machado Rodrigues|15/04/2019 - 14/04/2021|
Mulheres e a Matemática|Francieli Aparecida Vaz|01/05/2019 - 31/12/2019|
Música e Saúde mental|Gilnara da Costa Corrêa Oliveira|26/03/2019 - 11/12/2020|
Musicalização para bebês e crianças II|Carla Lopardo|02/04/2019 - 31/12/2019|
Nivelamento em Matemática - Modalidade EaD|Everson Jonatha Gomes da Silva|01/03/2018 - 30/12/2020|
Núcleo de Línguas Adicionais|Sara dos Santos Mota|20/03/2019 - 28/02/2020|
OFICINA DE BIODIESEL E EDUCAÇÃO AMBIENTAL: UMA ESTRATÉGIA DE APRENDIZAGEM|Cristine Machado Schwanke|10/03/2016 - 10/03/2020|
Pampa Circular  Danças Circulares no Pampa|Claudia Laus Angelo|18/02/2019 - 31/12/2020|
Programa de apoio ao ensino de eletromagnetismo na Educação Básica|Luiz Fernando de Freitas Gutierres|18/02/2019 - 01/04/2020|
Programação Cultural Campus Bagé|Giovani Souza Andreoli|28/03/2017 - 28/11/2019|
Promoção de qualidade de vida: resignificando o reforço escolar e apoio social|Cynthia Fontella Sant'Anna|15/04/2019 - 15/01/2020|
Promoção de Saúde: intersecção de arte, cultura e saúde em asilo|Cynthia Fontella Sant'Anna|15/04/2019 - 15/03/2020|
Proposta de Adequação de Agroindústria de Alimentos|andressa carolina jacques|03/01/2019 - 30/12/2020|
Rádio escolar: com a palavra, a escola|Fabiana Giovani|01/04/2018 - 31/03/2020|
Rádio Universitária: saberes em diálogo.|Carolina Fernandes|20/03/2019 - 20/03/2022|
Seminários sobre Arborização Urbana|Ketleen Grala|01/03/2016 - 31/12/2021|
Série Concertos da Confraria de la Yerba|Carla Lopardo|01/03/2017 - 15/12/2019|
Tecnologias para Informática na Educação|Sandra Dutra Piovesan|30/03/2018 - 29/03/2021|
Tertúlias Pedagógicas Inclusivas no Pampa|Claudete da Silva Lima Martins|12/03/2018 - 31/12/2021|
Tradução para Espanhol e Inglês do conteúdo do site da SECULT/Bagé|aden rodrigues pereira|15/08/2018 - 15/08/2019|
Um Olhar para o Universo: Astronomia e Cultura para a Terceira Idade|Rafael Kobata Kimura|01/03/2019 - 31/12/2021|
XXIV Encontro da Associação Brasileira de Planetários|Guilherme Frederico Marranghello|01/10/2019 - 04/10/2019|
Contos para cantar Livro didático do projeto de extensão "Confraria de la Yerba"|Carla Lopardo|01/04/2019 - 31/12/2019