CATALOGAÇÃO E DIGITALIZAÇÃO DE DOCUMENTAÇÃO HISTÓRICA|Tatiane Marques de Oliveira|03/01/2019 - 31/12/2021
Centro de Línguas  Letras (3ª edição)|Giane Rodrigues dos Santos|11/03/2019 - 11/03/2021
CORAL DO CÂMPUS JAGUARÃO - UNIPAMPA|Sandro Martins Costa Mendes|10/01/2017 - 20/12/2019
Corredores iluminados: a cultura e a expressão artística nos corredores da UNIPAMPA Campus Jaguarão|Patrícia Schneider Severo|28/09/2018 - 28/09/2022
Elas, Mulheres e Memória|Patrícia Schneider Severo|03/04/2018 - 31/12/2019
Evento Integrado :  Mostra Acadêmica do Curso de Pedagogia, I Encontro das Licenciaturas à Distância, I Mostra Científica da Pós-Graduação, II Fórum Regional de Metade Sul de EJA e XXIII Encontro Estadual do Fórum de EJA RS|Ana Cristina da Silva Rodrigues|09/02/2019 - 18/05/2019
Experiências de leitura, a formação do leitor em textos artísticos: HQ e outras linguagens|catia dias goulart|02/05/2019 - 05/12/2019
Formação de Professores na Cibercultura: Interagindo com as Ferramentas Digitais|Juliana Brandão Machado|07/12/2018 - 30/05/2019
Galeria Intercultural Magliani|Patrícia Schneider Severo|31/07/2017 - 31/07/2020
I Jornada dos Povos Indígenas - Unipampa Campus Jaguarão|Cristiani Ricordi|08/10/2018 - 30/04/2019
IV COPENE SUL: ANCESTRALIDADES, CONQUISTAS E RESISTÊNCIAS EM TEMPO DE INTOLERÂNCIA|Giane Vargas escobar|27/09/2018 - 26/09/2019
LugareS de FalaS, vamos dialogar?|Edison Bisso Cruxen|10/05/2019 - 16/11/2019
Núcleo de Estudo e Pesquisa em Gênero e Sexualidade (NEPGS)  Campus Jaguarão|MARCELA  WANGLON RICHTER|15/05/2019 - 15/05/2021
O cuidado de si e o mundo: narrativas visuais e produções fotográficas no campo psicossocial.|thomas josue silva|03/08/2017 - 03/08/2019
Pipas no Cerro|Patrícia Schneider Severo|03/04/2018 - 31/12/2019
Programa CriaNegra|S|01/03/2017 - 01/03/2020
Uma proposta de formação continuada de professores de espanhol através da pesquisa-ação|Caroline Feij|13/03/2019 - 30/12/2019
Atinuké  Grupo de Estudos sobre o Pensamento de Mulheres Negras|Giane Vargas escobar|01/05/2018 - 31/12/2020