Análise da adesão à coleta seletiva no município de Caçapava do Sul-RS|Rafaela Rios|01/04/2019 - 10/12/2019
Análise Espectroscópica de Planetas e Luas do Sistema Solar|vinicius de abreu oliveira|06/03/2017 - 05/03/2020
Aprendizagem de máquina para gerenciamento inteligente de usinas de beneficiamento de minérios|Ítalo Gomes Gonçalves|01/03/2018 - 31/12/2019
Atividade Experimental Problematizada (AEP): estrutura teórico-metodológica como estratégia pedagógica qualificadora ao ensino experimental em Ciências|ANDRE LUÍS SILVA DA SILVA|01/04/2018 - 30/03/2020
Atividades Experimentais Investigativas e Resolução de Problemas na Formação Inicial e  Continuada de Professores de Ciências da Natureza|Mara Elisângela Jappe Goi|15/05/2018 - 15/05/2020
Avaliação dos efeitos do herbicida Roundup sobre o desenvolvimento de Drosophila melanogaster|Cristiane Lenz Dalla Corte|01/07/2017 - 30/06/2019
Caracterização de Espaços Não Formais de Aprendizagem em Ciências do município de Caçapava do Sul|Lucilene Dornelles Mello|15/05/2017 - 31/12/2019
Composição de sedimentos detríticos derivados de rochas ígneas em clima subtropical úmido e sua aplicação na análise de proveniência sedimentar|Felipe Guadagnin|15/02/2017 - 15/02/2020
CONCENTRAÇÕES DE RADÔNIO NAS ÁGUAS SUBTERRÂNEAS, E O IMPACTO PARA A POPULAÇÃO DE CAÇAPAVA DO SUL- RS|vinicius de abreu oliveira|15/03/2019 - 14/03/2021
CORRELAÇÃO DE DADOS GEOLÓGICO-GEOFÍSICOS PARA A REDUÇÃO DE CUSTOS NO PROCESSO DE MODELAGEM GEOLÓGICA|Felipe Guadagnin|19/05/2017 - 20/12/2020
Diagnóstico e Otimização de Operações Unitárias de Lavra e Beneficiamento Visando o Aproveitamento Sustentável de Jazida de Calcário|Luis Eduardo de Souza|01/04/2019 - 01/04/2023
ESTRATIGRAFIA DE ALTA FREQUÊNCIA E MODELAGEM DE RESERVATÓRIO NOS DEPÓSITOS DA FORMAÇÃO PEDRA PINTADA|Ezequiel Galv|05/05/2019 - 05/05/2021
Estudo da toxicidade do metil e etil mercúrio sobre o desenvolvimento de Drosophila melanogaster|Cristiane Lenz Dalla Corte|01/04/2019 - 31/03/2022
Estudos Eletroquímicos de Filmes de DLC Depositados sobre Ligas de Titânio em Meios contendo Fluoretos e Brometos|Anelise Marlene Schmidt|07/08/2017 - 30/07/2019
Fundamentos para o emprego da metodologia de Resolução de Problemas na Educação Básica|Mara Elisângela Jappe Goi|15/05/2017 - 15/05/2021
GEOTURISMO E INTERPRETAÇÃO DO PATRIMÔNIO NATURAL DA CAMPANHA GAÚCHA COMO UM NOVO APORTE AO DESENVOLVIMENTO REGIONAL SUSTENTÁVEL|Felipe Guadagnin|22/10/2016 - 20/08/2020
Investigação de Lineamentos Magnéticos no Rio Grande do Sul|Tiago Rafael Gregory|15/03/2017 - 15/03/2021
LEVANTAMENTO E CLASSIFICAÇÃO DOS SOLOS DA ZONA URBANA DE CAÇAPAVA DO SUL, RS|Rafael Matias Feltrin|25/10/2017 - 21/10/2019
Modelagem computacional de sistemas nanome?tricos: nanoconfinamento e nanoestruturac?a?o|José Rafael Bordin|01/08/2017 - 31/07/2021
Modelagem da estrutura crustal e do manto superior sob o perfil N-S da Província Borborema e Cráton São Francisco: um estudo por refração sísmica profunda|MARCUS VINICIUS APARECIDO GOMES DE LIMA|01/06/2017 - 31/05/2019
Modelagem de Dados Magnetotelúricos do Domínio Tectônico Sul da Província Borborema, Nordeste do Brasil|Andrea Cristina Lima dos Santos Matos|04/09/2017 - 11/08/2020
Modernização das metodologias de mapeamento geológico, planejamento de lavra e levantamento topográfico de superfície para mineração|Ítalo Gomes Gonçalves|01/03/2019 - 31/03/2020
Monitoramento da Carga Orgânica Poluidora de Águas Superficiais  pela Avaliação Espectrofotométrica e  Espetrofluorimétrica da Oxidação do Azul de Metileno|Zilda Baratto Vendrame|17/04/2018 - 30/12/2019
O uso da solução fundamental na obtenção de soluções em problemas elásticos e outras aplicações|Daniela de Rosso Tolfo|08/04/2019 - 30/04/2021
Periodicidades em dados de precipitação pluviométrica no Estado do Rio Grande do Sul: avaliação das influências solar e geomagnética durante o último século|Everton Frigo|01/06/2017 - 31/05/2019
Propostas didáticas para o Ensino de Ciências em Escola do Campo|Lucilene Dornelles Mello|02/05/2017 - 31/12/2019
Reconhecimento de Indicadores Prospectivos de Depósitos Minerais na região Centro-Sul do Rio Grande do Sul|cristiane heredia gomes|01/10/2016 - 01/10/2020
Síntese e Caracterização de Ligantes Derivados de Carboidratos 1,2,3-Triazólicos|Jaqueline Pinto Vargas|05/12/2017 - 05/12/2021
Síntese e caracterização de novos materiais nanoestruturados de carbono visando aplicação como adsorventes de íons metálicos em sistemas aquosos.|CAROLINA FERREIRA DE MATOS JAURIS|01/06/2017 - 31/05/2021
Transformações das propostas curriculares em planejamento do professor no processo de ensino de Matemática|Maria Arlita da Silveira Soares|19/09/2017 - 18/09/2019
Uso de líquens no monitoramento da qualidade do ar no Município de Caçapava do Sul - RS|Pedro Daniel da Cunha Kemerich|01/06/2017 - 01/06/2021
Variações do campo geomagnético no sul do Brasil: possíveis implicações para a incidência de raios cósmicos galácticos|Everton Frigo|01/06/2017 - 31/12/2019