Influência do Isolamento Social na Intenção de Realizar Turismo|Gustavo da Rosa Borges|01/08/2018 - 31/12/2019
Agricultura Familiar e seu papel estratégico para assegurar diversidade produtiva, gestão ambiental rural e prestação de Serviços ambientais: estudos de caso na região da campanha gaúcha|Shirley Grazieli da Silva Nascimento|26/03/2019 - 26/03/2022
Alcances da interculturalidade: uma etnografia sobre formação de professores indígenas nas Licenciaturas em Educação do Campo.|Suzana Cavalheiro de Jesus|03/04/2017 - 11/12/2020
Alfabetização Científica e professores de Ciências da Natureza de Dom Pedrito/RS: uma proposta de formação continuada|CADIDJA COUTINHO|01/03/2019 - 01/12/2019
Alfabetização Ecológica: uma abordagem para o Ensino de Ciências utilizando uma tecnologia educacional|CADIDJA COUTINHO|01/03/2019 - 01/12/2019
ANÁLISE DAS CONCEPÇÕES AVALIATIVAS EXPRESSAS NOS PROJETOS PEDAGÓGICOS DE CURSO|crisna daniela krause bierhalz|24/01/2019 - 31/12/2019
Análise epistemológica do conteúdo de forças intermoleculares abordados nos livros didáticos aprovados pelo PNLD.|Ana Carolina Gomes Miranda|20/06/2018 - 20/12/2020
AVALIAÇÃO DA DINÂMICA FOLICULAR E PERFIL HORMONAL REPRODUTIVO EM ÉGUAS DE DIFERENTES TIPOS E PORTES II|Adriana Pires Neves|01/09/2018 - 30/04/2019
Avaliação da eficácia de anti-helmínticos e da resistência parasitária em ovinos na região da Campanha Gaúcha|Gladis Ferreira Corrêa|15/02/2017 - 31/12/2020
AVALIAÇÃO DE PERFORMANCE DE EQUINOS CRIOULOS SUBMETIDOS A TREINAMENTO INTERVALADO PARA PROVAS DE RESISTÊNCIA|Adriana Pires Neves|01/03/2017 - 31/12/2019
Avaliação do comportamento materno-filial de ovelhas e inferência do temperamento materno sobre o ganho de peso dos cordeiros|Gladis Ferreira Corrêa|15/02/2017 - 31/12/2020
Base Nacional Comum Curricular : a experimentação no Ensino de Biologia.|Sandra Maders|26/03/2019 - 26/03/2020
Biodiversidade de fauna do solo no Bioma Pampa: efeitos da vegetação, solo e manejo do ecossistema|Daniel Hanke|01/03/2017 - 31/12/2020
Caracterização da uva e do vinho Petit Verdot da região da Campanha Gaúcha|Renata Gimenez Sampaio Zocche|01/06/2017 - 01/06/2019
Comportamento social de bovinos de corte  interações|Tisa Echevarria Leite|01/01/2019 - 31/12/2022
Comportamento social de búfalos  interações e susceptibilidade a doenças|Tisa Echevarria Leite|01/01/2019 - 31/12/2019
Comportamentos e Competências para Sustentabilidade no Bioma Pampa|Thiago Antonio Beuron|05/09/2018 - 05/12/2021
Composição aromática de vinhos tintos elaborados na Campanha Gaúcha|Wellynthon Machado da Cunha|02/01/2018 - 26/11/2021
Composição fenólica dos vinhos da Campanha Gaúcha|Angela Rossi Marcon|04/09/2018 - 10/12/2020
Conhecendo o Bioma Pampa e sua diversidade florística através de uma saída de campo: a Educação Ambiental no Ensino de Ciências da Natureza|CADIDJA COUTINHO|01/03/2019 - 01/12/2019
Construção de modelos de simulação|José Acélio Silveira da Fontoura Júnior|01/03/2018 - 01/03/2022
Correlações entre peso, idade e condição corporal com as características de carcaça analisadas por ultrassonografia em bovinos de corte|Angélica Pinho|15/03/2018 - 15/03/2020
Desenho Universal para a Aprendizagem no Ensino de Ciências da Natureza|Franciele Braz de Oliveira Coelho|20/03/2019 - 31/07/2019
Diagnóstico, elaboração e análise de estratégias motivacionais na prevenção da evasão no curso de Zootecnia da UNIPAMPA|Luciane Rumpel Segabinazzi|16/02/2017 - 31/12/2020
Docência universitária: metodologias de ensino e recursos pedagógicos|Ana Carolina de Oliveira Salgueiro de Moura|01/03/2018 - 31/08/2020
EFEITO DO EL NIÑO E LA NIÑA NA PRODUÇÃO E QUALIDADE DE UVAS (Vitis vinifera L.) NA REGIÃO DE SANTANA DO LIVRAMENTO/RS|Vagner Brasil Costa|01/03/2019 - 28/02/2021
Efeitos de níveis crescentes de adubação nitrogenada em características físico-química e morfológicas do Capim Annoni (Eragostis Plana Ness)|José Acélio Silveira da Fontoura Júnior|01/04/2018 - 01/04/2020
Ensino de Ciências na Agricultura: uma proposta de jogo didático|Camila Aparecida Tolentino Cicuto|18/09/2018 - 31/07/2019
Estágio curricular em Ciências da Natureza: percepções da escola e do professor regente|CADIDJA COUTINHO|01/03/2019 - 01/12/2019
Estudo de diferentes intensidade e épocas de desfolha na translocação de potássio em uvas Cabernet Sauvignon|Renata Gimenez Sampaio Zocche|10/08/2017 - 10/08/2019
Estudo de um sistema de produção de leite em pequenos ruminantes suplementados com Farelo de Arroz Integral para elaboração de derivados|Gladis Ferreira Corrêa|15/02/2017 - 31/12/2020
Hidromel do Pampa: análise de viabilidade da produção de hidromel  no município de Dom Pedrito|Lilian Kratz Vogt|01/04/2017 - 01/04/2020
Identificação de helmintos gastrintestinal encontrados em ruminantes do município de Dom Pedrito, RS e avaliação da atividade in vitro de anti-helmínticos sobre as larvas infectantes (L3).|Anelise Afonso Martins|15/03/2017 - 15/12/2020
Identificação e cultivo de espécies com multipropósito uso nos ecossistemas campestres do RS|LEONARDO PAZ DEBLE|01/03/2018 - 31/12/2019
Identificação e quantificação de nematódeos e coccídios gastrintestinais presentes em búfalos naturalmente infectados no município de Rosário do Sul, RS.|Anelise Afonso Martins|29/03/2019 - 20/12/2020
Implantação de uma Coleção de Cepas de Microalgas|Tatiana Machdo|12/03/2018 - 31/12/2020
INCLUSÃO DE ALUNOS COM TRANSTORNO DO ESPECTRO AUTISTA (T. E. A) NO ENSINO DE CIÊNCIAS NAS ESCOLAS PÚBLICAS MUNICIPAIS DE DOM PEDRITO  RS.|Sandra Maders|26/03/2019 - 30/12/2019
Interações sociais e comportamento em ordenha de ovelhas|Tisa Echevarria Leite|01/01/2019 - 31/12/2020
Juventude, fronteira e as múltiplas ruralidades do Pampa.|Jonas Anderson Simões das Neves|20/03/2018 - 20/03/2022
Necessidades educativas na  Fronteira Brasil- Uruguai|Ignacio Pablo Traversa Tejero|01/04/2016 - 01/04/2020
O discurso oficial sobre a Avaliação da Aprendizagem na formação de professores de Ciências da Natureza|crisna daniela krause bierhalz|24/01/2019 - 31/12/2019
O Ensino Inclusivo em Ciências da Natureza para Deficientes Visuais através do uso de Sequência Didática.|Franciele Braz de Oliveira Coelho|15/02/2019 - 31/12/2019
O Uso da Experimentação nas aulas de Ciências da Natureza no Ensino Fundamental na cidade de Dom Pedrito|Camila Aparecida Tolentino Cicuto|01/10/2018 - 31/07/2019
Pedagogia da Alternância nos cursos de Licenciatura em Educação do Campo no Rio Grande do Sul|Ana Carolina de Oliveira Salgueiro de Moura|01/09/2018 - 31/07/2020
Perfil da criação de bezerras nos assentamentos da reforma agrária de Santana do Livramento|Deise Dalazen Castagnara|22/07/2017 - 22/07/2019
PERFIL SOCIOECONÔMICO DA MÃO DE OBRA NA VITICULTURA NA CAMPANHA GAÚCHA|Rodrigo da Silva Lisboa|30/03/2018 - 20/12/2019
PIBID: PROCESSOS FORMATIVOS DOS ACADÊMICOS DO CURSO DE CIÊNCIAS DA NATUREZA - LICENCIATURA UNIPAMPA - CAMPUS DOM PEDRITO.|Sandra Maders|26/03/2019 - 30/12/2019
Práticas Pedagógicas que articulam a Educação do Campo e o ensino de Ciências|Ana Carolina de Oliveira Salgueiro de Moura|27/02/2019 - 15/03/2020
Produção de carne de qualidade em diferentes sistemas de alimentação de cordeiros na Região da Campanha do Rio Grande do Sul - RS|Gladis Ferreira Corrêa|15/02/2017 - 31/12/2020
Promovendo a Alfabetização Científica no Ensino Médio a partir de questões socioambientais e nutricionais|Camila Aparecida Tolentino Cicuto|01/03/2019 - 30/06/2020
Proposta de novas tecnologias para promotores de crescimento vegetal e condicionadores de solo à base de biocarvão e substâncias húmicas|Daniel Hanke|28/03/2018 - 28/03/2021
Quantificação do óleo de sementes de uvas oriundas de diferentes variedades de Vitis vinífera cultivadas na Campanha Gaúcha|Suziane Antes Jacobs|01/05/2018 - 01/05/2022
Revisão sistemática da literatura para pesquisa em bovinos de corte|Guilherme Joner|04/03/2019 - 31/12/2022
Sensoriamento Remoto e SIG empregados na geologia do vinho: ferramentas de suporte à caracterização de terroir vitivinícola no município de Dom Pedrito -  RS|Daniel Hanke|01/03/2017 - 30/12/2019
Tecnologias socioecológicas e Práticas Pedagógicas no Rio Grande do Sul|Marcelo Vaz Pupo|20/03/2019 - 19/12/2020
Transição progressiva dos modelos explicativos de estudantes sobre química orgânica.|Ana Carolina Gomes Miranda|04/04/2019 - 15/12/2022
USO DE ALTERNATIVAS DE FERTILIZAÇÃO DA ÁGUA EM SISTEMA DE CULTIVO COM BIOFLOCOS E SEU EFEITO NO DESEMPENHO ZOOTÉCNICO DE JUVENIS E ADULTOS DE JUNDIÁ Rhamdia quelen|PAULO RODINEI SOARES LOPES|20/06/2016 - 31/12/2019
Utilização do filme Procurando Dory como recurso para o Ensino de Ciências da Natureza da Educação Básica|Franciele Braz de Oliveira Coelho|15/02/2019 - 31/12/2019
Visões do Campo: Vertentes e Signos para a formação de educadores do campo|Carla Valeria Leonini Crivellaro|09/05/2019 - 09/05/2021
Vitivinicultura na Região de Dom Pedrito - Rio Grande do Sul (RS)|Juan Aguila|01/01/2017 - 31/12/2020